nom_chaine,heure,contexte_jour,est_ramadan,est_ferie,age_groupe_pred,sexe_pred,revenu_pred,nb_foyers
Attessia TV,0,Dimanche,0,0,18-24,F,eleve,2
Attessia TV,0,Dimanche,0,0,18-24,F,faible,14
Attessia TV,0,Dimanche,0,0,18-24,F,moyen,26
Attessia TV,0,Dimanche,0,0,18-24,H,eleve,6
Attessia TV,0,Dimanche,0,0,18-24,H,faible,80
Attessia TV,0,Dimanche,0,0,18-24,H,moyen,90
Attessia TV,0,Dimanche,0,0,25-34,F,faible,12
Attessia TV,0,Dimanche,0,0,25-34,F,moyen,34
Attessia TV,0,Dimanche,0,0,25-34,H,faible,70
Attessia TV,0,Dimanche,0,0,25-34,H,moyen,116
Attessia TV,0,Dimanche,0,0,35-44,F,faible,36
Attessia TV,0,Dimanche,0,0,35-44,F,moyen,52
Attessia TV,0,Dimanche,0,0,35-44,H,faible,84
Attessia TV,0,Dimanche,0,0,35-44,H,moyen,142
Attessia TV,0,Dimanche,0,0,45+,F,faible,6
Attessia TV,0,Dimanche,0,0,45+,F,moyen,18
Attessia TV,0,Dimanche,0,0,45+,H,faible,48
Attessia TV,0,Dimanche,0,0,45+,H,moyen,68
Attessia TV,0,Jeudi,0,1,18-24,F,eleve,4
Attessia TV,0,Jeudi,0,1,18-24,F,faible,32
Attessia TV,0,Jeudi,0,1,18-24,F,moyen,8
Attessia TV,0,Jeudi,0,1,18-24,H,eleve,2
Attessia TV,0,Jeudi,0,1,18-24,H,faible,74
Attessia TV,0,Jeudi,0,1,18-24,H,moyen,68
Attessia TV,0,Jeudi,0,1,25-34,F,faible,12
Attessia TV,0,Jeudi,0,1,25-34,F,moyen,54
Attessia TV,0,Jeudi,0,1,25-34,H,eleve,4
Attessia TV,0,Jeudi,0,1,25-34,H,faible,78
Attessia TV,0,Jeudi,0,1,25-34,H,moyen,70
Attessia TV,0,Jeudi,0,1,35-44,F,faible,18
Attessia TV,0,Jeudi,0,1,35-44,F,moyen,38
Attessia TV,0,Jeudi,0,1,35-44,H,eleve,2
Attessia TV,0,Jeudi,0,1,35-44,H,faible,84
Attessia TV,0,Jeudi,0,1,35-44,H,moyen,124
Attessia TV,0,Jeudi,0,1,45+,F,faible,14
Attessia TV,0,Jeudi,0,1,45+,F,moyen,30
Attessia TV,0,Jeudi,0,1,45+,H,eleve,2
Attessia TV,0,Jeudi,0,1,45+,H,faible,22
Attessia TV,0,Jeudi,0,1,45+,H,moyen,66
Attessia TV,0,Lundi,0,0,18-24,F,eleve,2
